base_name,frame_number,set_type,results_dir
C11D2.2 (ok1565) on food L_2011_08_31__11_29___4___1,16852,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565) on food L_2011_08_31__11_29___4___1,16854,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565) on food L_2011_08_31__11_29___4___1,24135,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_24__10_24_57___7___2,19750,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_24__10_24_57___7___2,20065,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_24__10_24_57___7___2,20220,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_24__10_24_57___7___2,20458,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_24__10_24_57___7___2,21329,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_24__10_24_57___7___2,21785,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_24__10_45_12___8___3,15335,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_24__10_45_12___8___3,16267,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_24__10_45_12___8___3,16825,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_24__10_45_12___8___3,18790,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_25__15_03_30__7,18052,train,/Volumes/behavgenom_archive$/single_worm/unfinished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_25__15_03_30__7,20164,train,/Volumes/behavgenom_archive$/single_worm/unfinished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_25__15_03_30__7,20167,train,/Volumes/behavgenom_archive$/single_worm/unfinished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_31__12_09_31___6___3,16099,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_31__12_09_31___6___3,16101,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_31__12_09_31___6___3,16211,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_31__12_09_31___6___3,16214,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_31__12_09_31___6___3,16914,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food L_2011_08_31__12_09_31___6___3,16915,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
C11D2.2 (ok1565)IV on food R_2011_08_24__12_24___3___8,17737,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_24__12_24___3___8,17739,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_24__12_24___3___8,19454,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_24__12_24___3___8,19455,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_24__12_24___3___8,20566,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_24__12_24___3___8,20569,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_24__12_24___3___8,21945,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_31__12_33_23___7___4,5621,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_31__12_33_23___7___4,5625,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_31__12_33_23___7___4,26841,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_31__12_52_41___8___5,17035,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_31__12_52_41___8___5,17789,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_31__12_52_41___8___5,17905,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_31__12_52_41___8___5,17909,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_31__15_49_17___2___9,11487,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_31__15_49_17___2___9,11489,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_31__15_49_17___2___9,12517,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C11D2.2 (ok1565)IV on food R_2011_08_31__15_49_17___2___9,12518,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
CD112.2 (ok1565)IV on food R_2011_08_24__11_41_04___1___6,15682,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
CD112.2 (ok1565)IV on food R_2011_08_24__11_41_04___1___6,17889,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
CD112.2 (ok1565)IV on food R_2011_08_24__11_41_04___1___6,17890,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
CIID2.2 (ok1565)IV on food L_2011_08_04__10_29___3___1,25277,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
CIID2.2 (ok1565)IV on food L_2011_08_04__10_29___3___1,26669,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/clockwise
CIID2.2 (ok1565)IV on food R_2011_08_04__12_13_02___8___6,16230,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
CIID2.2 (ok1565)IV on food R_2011_08_04__12_13_02___8___6,16233,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
CIID2.2 (ok1565)IV on food R_2011_08_04__12_13_02___8___6,20216,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
CIID2.2 (ok1565)IV on food R_2011_08_04__12_26_51___1___6,11999,test,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
CIID2.2 (ok1565)IV on food R_2011_08_04__12_26_51___1___6,12000,test,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
CIID2.2 (ok1565)IV on food R_2011_08_04__12_26_51___1___6,13708,test,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
CIID2.2 (ok1565)IV on food R_2011_08_04__12_26_51___1___6,14622,test,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
CIID2.2 (ok1565)IV on food R_2011_08_04__12_26_51___1___6,14914,test,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
CIID2.2 (ok1565)IV on food R_2011_08_04__12_26_51___1___6,14916,test,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C11D2.2(ok1565)IV@RB1380/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food L_2010_03_25__11_13___3___2,11474,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/clockwise
C24G7.4 (ok1237) on food L_2010_03_25__11_13___3___2,11475,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/clockwise
C24G7.4 (ok1237) on food L_2010_03_26__11_53_16___2___6,13313,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/clockwise
C24G7.4 (ok1237) on food L_2010_03_26__11_53_16___2___6,13314,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/clockwise
C24G7.4 (ok1237) on food L_2010_03_30__11_45_19___1___2,13251,train,/Volumes/behavgenom_archive$/single_worm/unfinished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/clockwise
C24G7.4 (ok1237) on food L_2010_03_30__11_45_19___1___2,18283,train,/Volumes/behavgenom_archive$/single_worm/unfinished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/clockwise
C24G7.4 (ok1237) on food L_2010_03_30__11_45_19___1___2,18288,train,/Volumes/behavgenom_archive$/single_worm/unfinished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/clockwise
C24G7.4 (ok1237) on food L_2010_03_30__11_46_12___2___2,8511,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/clockwise
C24G7.4 (ok1237) on food L_2010_03_30__11_46_12___2___2,9161,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/clockwise
C24G7.4 (ok1237) on food L_2010_03_30__11_46_12___2___2,9162,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/clockwise
C24G7.4 (ok1237) on food L_2010_03_30__11_48_25__2,18587,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/clockwise
C24G7.4 (ok1237) on food R_2010_03_25__11_13_24___6___2,13342,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food R_2010_03_25__11_13_24___6___2,14120,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food R_2010_03_25__11_13_24___6___2,14121,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food R_2010_03_25__11_13_24___6___2,15419,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food R_2010_03_25__11_13_24___6___2,18907,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food R_2010_03_25__11_13_24___6___2,18909,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food R_2010_03_25__11_15_33__2,18102,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food R_2010_03_25__11_15_33__2,18104,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food R_2010_03_26__11_54_45___8___6,17335,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food R_2010_03_26__11_54_45___8___6,17553,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food R_2010_03_26__11_54_45___8___6,17555,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food R_2010_03_30__11_46_46___4___2,3954,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food R_2010_03_30__11_46_46___4___2,3955,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food R_2010_03_30__11_46_46___4___2,5588,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food R_2010_03_30__11_46_46___4___2,5589,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C24G7.4 (ok1237) on food R_2010_03_30__11_46_46___4___2,7898,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C24G7.4(ok1237)I@RB1192/food_OP50/XX/30m_wait/anticlockwise
C3809.2 (OK1853)v on food R_2012_03_15__10_17_48___8___3,12633,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/anticlockwise
C3809.2 (OK1853)v on food R_2012_03_15__10_17_48___8___3,12847,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/anticlockwise
C3809.2 (ok1853)V on food L_2012_03_08__12_15_52___7___2,2086,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/clockwise
C3809.2 (ok1853)V on food L_2012_03_08__12_15_52___7___2,2088,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/clockwise
C3809.2 (ok1853)V on food L_2012_03_15__12_00_02___5___8,25072,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/clockwise
C3809.2 (ok1853)V on food R_2012_03_08__12_36_40___8___4,14431,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/anticlockwise
C3809.2 (ok1853)V on food R_2012_03_08__12_36_40___8___4,14434,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/anticlockwise
C3809.2 (ok1853)V on food R_2012_03_08__12_36_40___8___4,18634,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/anticlockwise
C3809.2 (ok1853)V on food R_2012_03_08__12_36_40___8___4,18635,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/anticlockwise
C3809.2 (ok1853)V on food R_2012_03_08__15_48_57___5___9,24733,train,/Volumes/behavgenom_archive$/single_worm/finished/mutants/C38D9.2(ok1853)V@RB1543/food_OP50/XX/30m_wait/anticlockwise
